b190100cs,John,9.59,78,Mizoram
b190101cs,William,8.61,84,Tamilnadu
b190102cs,James,7.79,79,Mizoram
b190103cs,Charles,6.5,95,Mizoram
b190104cs,George,9.67,70,Tamilnadu
b190105cs,Frank,6.17,87,Gujarat
b190106cs,Joseph,7.31,79,Kerala
b190107cs,Thomas,7.58,71,Mizoram
b190108cs,Henry,7.33,82,Mizoram
b190109cs,Robert,8.19,75,Tamilnadu
b190110cs,Edward,9.56,78,Telangana
b190111cs,Harry,7.62,85,Mizoram
b190112cs,Walter,8.54,71,Kerala
b190113cs,Arthur,7.59,71,Kerala
b190114cs,Fred,7.43,91,Tamilnadu
b190115cs,Albert,7.79,84,Mizoram
b190116cs,Samuel,6.68,95,Mizoram
b190117cs,David,9.63,83,Mizoram
b190118cs,Louis,9.01,92,Telangana
b190119cs,Joe,9.31,98,Mizoram
b190120cs,Charlie,6.63,79,Kerala
b190121cs,Clarence,6.28,96,Gujarat
b190122cs,Richard,8.03,73,Mizoram
b190123cs,Andrew,6.86,74,Gujarat
b190124cs,Daniel,8.64,95,Gujarat
b190125cs,Ernest,8.31,91,Kerala
b190126cs,Will,8.11,83,Kerala
b190127cs,Jesse,9.69,87,Telangana
b190128cs,Oscar,8.81,76,Gujarat
b190129cs,Lewis,8.41,99,Mizoram
b190130cs,Peter,9.31,73,Mizoram
b190131cs,Benjamin,9.5,97,Tamilnadu
b190132cs,Frederick,6.22,87,Kerala
b190133cs,Willie,9.99,71,Mizoram
b190134cs,Alfred,9.08,89,Gujarat
b190135cs,Sam,9.79,100,Mizoram
b190136cs,Roy,7.36,73,Tamilnadu
b190137cs,Herbert,6.78,78,Gujarat
b190138cs,Jacob,6.22,70,Tamilnadu
b190139cs,Tom,7.68,83,Gujarat
b190140cs,Elmer,9.49,70,Gujarat
b190141cs,Carl,6.18,99,Kerala
b190142cs,Lee,6.32,86,Kerala
b190143cs,Howard,8.71,97,Tamilnadu
b190144cs,Martin,8.6,72,Kerala
b190145cs,Michael,7.98,93,Kerala
b190146cs,Bert,8.02,83,Tamilnadu
b190147cs,Herman,7.26,90,Mizoram
b190148cs,Jim,8.2,83,Tamilnadu
b190149cs,Francis,6.7,71,Tamilnadu
b190150cs,Harvey,9.2,92,Mizoram
b190151cs,Earl,7.91,73,Tamilnadu
b190152cs,Eugene,6.97,84,Kerala
b190153cs,Ralph,7.78,86,Gujarat
b190154cs,Ed,7.41,96,Telangana
b190155cs,Claude,8.09,81,Kerala
b190156cs,Edwin,6.67,86,Telangana
b190157cs,Ben,7.83,71,Telangana
b190158cs,Charley,8.78,76,Telangana
b190159cs,Paul,8.81,90,Kerala
b190160cs,Edgar,6.41,73,Telangana
b190161cs,Isaac,7.0,77,Telangana
b190162cs,Otto,6.51,95,Tamilnadu
b190163cs,Luther,8.62,100,Mizoram
b190164cs,Lawrence,8.98,98,Gujarat
b190165cs,Ira,6.21,79,Kerala
b190166cs,Patrick,8.6,85,Telangana
b190167cs,Guy,7.49,98,Kerala
b190168cs,Oliver,6.94,85,Telangana
b190169cs,Theodore,6.01,85,Kerala
b190170cs,Hugh,7.36,76,Kerala
b190171cs,Clyde,7.57,90,Telangana
b190172cs,Alexander,9.68,74,Telangana
b190173cs,August,6.46,86,Tamilnadu
b190174cs,Floyd,8.43,96,Tamilnadu
b190175cs,Homer,8.19,72,Kerala
b190176cs,Jack,7.48,95,Gujarat
b190177cs,Leonard,9.28,76,Mizoram
b190178cs,Horace,7.84,80,Tamilnadu
b190179cs,Marion,8.53,76,Telangana
b190180cs,Philip,8.39,95,Gujarat
b190181cs,Allen,6.23,87,Mizoram
b190182cs,Archie,9.62,99,Mizoram
b190183cs,Stephen,9.65,84,Kerala
b190184cs,Chester,6.93,73,Kerala
b190185cs,Willis,6.97,100,Telangana
b190186cs,Raymond,9.32,96,Gujarat
b190187cs,Rufus,8.0,90,Mizoram
b190188cs,Warren,7.3,90,Gujarat
b190189cs,Jessie,8.63,82,Tamilnadu
b190190cs,Milton,9.22,78,Tamilnadu
b190191cs,Alex,7.69,82,Telangana
b190192cs,Leo,8.52,70,Gujarat
b190193cs,Julius,6.88,92,Kerala
b190194cs,Ray,9.11,83,Kerala
b190195cs,Sidney,7.81,99,Mizoram
b190196cs,Bernard,9.68,93,Tamilnadu
b190197cs,Dan,9.38,95,Mizoram
b190198cs,Jerry,7.41,78,Tamilnadu
b190199cs,Calvin,8.02,79,Telangana
b190200cs,Perry,6.71,89,Kerala
